"id","name","label","datatype","isEnabled","uuid:ID","instanceType","isRequired"
"BiomedicalConceptProperty_71","LBORRES","LBORRES","float","True","c3d0ddaf-6fdb-4f50-bc7a-4a5511057281","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_72","LBORRESU","LBORRESU","","True","3cecd281-6684-42ad-b904-9a76ab568b43","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_73","LBSPEC","LBSPEC","","True","8a114e43-dcb1-4384-a8d6-cf17f7b7948d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_74","LBFAST","LBFAST","","True","017ba4be-a90f-4f87-92d6-c46653d8d0de","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_75","LBTESTCD","LBTESTCD","","True","876d9eac-2e43-47ee-a0e0-78d10fdb1c25","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_76","LBORRES","LBORRES","float","True","3209c621-107d-4e0b-abee-70f7e4b330ce","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_77","LBORRESU","LBORRESU","","True","1c8c7566-9454-4b2e-8daa-c5a9391fbb26","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_78","LBSPEC","LBSPEC","","True","9af314a8-75a0-42e9-a9f9-569f8517eafd","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_79","LBFAST","LBFAST","","True","d6f6365d-86bf-43c2-915b-a0d6b1a181cb","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_80","VSTESTCD","VSTESTCD","","True","6e2c4ec3-0457-4fd6-9786-fe4d5d29b0d9","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_81","VSORRES","VSORRES","integer","True","a994f671-7425-40d1-88dd-11361135769d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_82","VSORRESU","VSORRESU","","True","6f91d12e-eac4-461d-b271-9dc6351a2cef","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_83","VSPOS","VSPOS","","True","f024892e-0155-471c-bd1f-d0cc93621022","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_84","VSLOC","VSLOC","","True","4c0e7abc-347d-4c83-b9c1-9a33dc1b2ce9","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_85","VSLAT","VSLAT","","True","b0a2cbc2-979d-4013-bd7d-0a77b6383a2f","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_86","VSTESTCD","VSTESTCD","","True","33e7d920-d346-4ef6-848f-045c3689290e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_87","VSORRES","VSORRES","integer","True","fd0b6341-cb29-471f-bfcd-0a567c21e7bc","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_88","VSORRESU","VSORRESU","","True","dd89099c-c41c-4051-a1ad-fc44154b4d27","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_89","VSPOS","VSPOS","","True","69e9a221-92cf-4980-9fa3-30689c4ae50d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_90","VSLOC","VSLOC","","True","95d22a97-469b-43be-a1b6-808a2b8e3d84","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_91","VSLAT","VSLAT","","True","a9702342-2795-4fd9-8875-112c3dfaff33","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_92","VSTESTCD","VSTESTCD","","True","8bfea4ed-d5c9-4507-b64b-486ad281f991","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_93","VSORRES","VSORRES","integer","True","b7cebd9e-90a8-41d7-9b61-3120f75fa766","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_94","VSORRESU","VSORRESU","","True","8fa45cbc-a953-4638-bd98-d55fa17315aa","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_95","VSPOS","VSPOS","","True","a308b15c-fc4b-412c-8480-072e2b040620","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_96","VSLOC","VSLOC","","True","c2fb9978-09c2-403c-beab-3e92f9d881dc","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_97","VSLAT","VSLAT","","True","3b018684-0680-4eab-8d1d-8d9c5f56c633","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_98","VSTESTCD","VSTESTCD","","True","8f81acfc-dcc8-4e24-a8b1-d31f3b1e80f8","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_99","VSORRES","VSORRES","integer","True","ef093334-4976-49b2-9244-6bf0ba2fb3d1","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_100","VSORRESU","VSORRESU","","True","a3a281d3-b251-4989-9869-433dd97d27b9","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_101","VSPOS","VSPOS","","True","bd549412-473e-4dd6-8dfb-3ba7e8f8eb25","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_102","VSLOC","VSLOC","","True","3aaeb8e6-2484-4296-9c8c-096e31e23e0b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_103","VSLAT","VSLAT","","True","ce58ae5c-bc0e-428a-be2d-6d17e23a274e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_104","VSTESTCD","VSTESTCD","","True","0f0bdb56-7c64-419a-b0db-9170d71a7306","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_105","VSORRES","VSORRES","integer","True","8527fc82-b78f-4172-a898-0ba06ce70a39","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_106","VSORRESU","VSORRESU","","True","9ea9f338-381f-42ad-989c-022098adac6b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_107","VSPOS","VSPOS","","True","1e5e39b8-d7cf-4671-bc3b-25dcd3897a70","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_108","VSLOC","VSLOC","","True","541aa866-a5d0-4892-af35-ee459efd5e07","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_109","VSLAT","VSLAT","","True","d5ab99a6-d071-437d-8479-a242b086e64a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_110","VSTESTCD","VSTESTCD","","True","b209f9bd-b68b-464d-86ea-395de07e2f4e","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_111","VSORRES","VSORRES","integer","True","2c8fedb8-fd99-4f8a-87f7-10484a83d1cc","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_112","VSORRESU","VSORRESU","","True","40d3f712-bfa7-4a8c-8368-13492b82dfb6","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_113","VSPOS","VSPOS","","True","fe4360c3-becf-4a71-af86-d3253663a6e5","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_114","VSLOC","VSLOC","","True","64a4c14b-b811-438c-84d0-b683c5c065f6","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_115","VSLAT","VSLAT","","True","73477e42-c426-4e30-8d61-b04aec9e6c9d","BiomedicalConceptProperty","True"
