"isRequired","datatype","id","name","uuid:ID","label","isEnabled","instanceType"
"True","","BiomedicalConceptProperty_29","VSLAT","f2fb12c9-7543-4b79-b7c6-cde38d2f2cf6","VSLAT","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_30","VSTESTCD","526e2473-50aa-43be-90df-e69861e8fa16","VSTESTCD","True","BiomedicalConceptProperty"
"True","integer","BiomedicalConceptProperty_31","VSORRES","b2ab3dc6-4fa6-4cfd-9436-4e71edc17c3f","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_32","VSORRESU","b2c91819-f123-4734-9be6-5881b7f39eea","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_33","VSPOS","00302bdb-b291-47c0-93a2-c851fc881177","VSPOS","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_34","VSLOC","79a58b38-b8f5-4dfe-850f-ee4d72760a6c","VSLOC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_35","VSLAT","3ca82760-aaad-448c-b176-7cc50e4e4f50","VSLAT","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_36","VSTESTCD","18e0722e-d295-41e3-9f81-4700658fe3ae","VSTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_37","VSORRES","3ac1bb69-1454-473b-9ea1-eb30e5cdc290","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_38","VSORRESU","c45b672d-fd7c-40af-a1e3-4b2bf5766934","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_39","VSLOC","d078ee91-31bc-498a-bf6a-e82763a566f9","VSLOC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_40","VSTESTCD","79a6328d-8633-45f6-81bf-b52c403cbce7","VSTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_41","VSORRES","596f3431-ab17-406f-b1f7-7c3fcd7a043d","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_42","VSORRESU","dfbd0752-560d-48a9-922b-a190ad42f258","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_43","VSTESTCD","0b5b6655-4604-4c18-a359-b067d86677a1","VSTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_44","VSORRES","2c94aca4-cd30-4d7e-8e49-a14fd0800502","VSORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_45","VSORRESU","5d3c803d-ea59-427a-9df0-e47de726e8f3","VSORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_46","LBTESTCD","0550bcca-f6b4-414d-8bc8-e4ce1796dfc9","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_47","LBORRES","64a25c96-0ad7-42a1-b73d-2990aeec9be6","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_48","LBORRESU","11625b6d-6a88-4a69-84aa-f4693caede6d","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_49","LBSPEC","afa6f3f7-f0f9-49e5-8c29-63acc764c3dc","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_50","LBFAST","b5e65420-953f-4f5b-b13f-fba4bfa67d31","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_51","LBTESTCD","1a44b696-a74b-454a-91ca-23f01cba3528","LBTESTCD","True","BiomedicalConceptProperty"
"True","text","BiomedicalConceptProperty_52","LBORRES","c90e850e-4fa8-446d-800a-d3559e8f4661","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_53","LBSPEC","519b2e27-de5f-4aa6-a747-1ecc09fab5a3","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_54","LBFAST","30049b56-c3c0-4b2c-aa24-dfb5c08e728e","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_55","LBTESTCD","e45a89de-a4d3-4059-a605-996aa9594120","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_56","LBORRES","13b51c10-47ab-40bb-bc25-7e1a509c6e71","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_57","LBORRESU","986c7a6b-401f-4307-8a52-927cf35a62b9","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_58","LBSPEC","1ae0e508-bb23-45f1-8921-7f67b59f6f54","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_59","LBFAST","abbe7e0f-e333-4718-8317-9c6f289bcf74","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_60","LBTESTCD","e099e7bd-72f4-4d71-9490-c602c1bd2398","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_61","LBORRES","b33a44a2-235c-48ce-bbbf-8e5d09998d71","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_62","LBORRESU","7b741039-2ffa-4837-917c-3fa6e7af7782","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_63","LBSPEC","eff9f0f0-1db8-434a-8bd2-2fc469eae3c1","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_64","LBFAST","13584cae-6648-46c4-a5c1-830bac7024ea","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_65","LBTESTCD","6bd1438a-5a90-4741-a19a-c243959a2a64","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_66","LBORRES","b226b533-3627-4dc5-b412-e20fdace681a","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_67","LBORRESU","45f18466-8108-4f45-92ca-a30b649d200f","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_68","LBSPEC","f589351b-82e6-4fcb-92cc-3e68af80f60b","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_69","LBFAST","5c125c78-ad31-4055-a8b6-65db3991b995","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_70","LBTESTCD","6be27650-999d-4e58-8733-dd520ea2005a","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_71","LBORRES","04fb4daa-b06a-4d78-96f8-66ccbd85ffa7","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_72","LBORRESU","3eea4839-fe49-4c63-8ab5-e51f7f354b62","LBORRESU","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_73","LBSPEC","f6aaf86a-6e25-4d3b-899b-0c6f9d09efa8","LBSPEC","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_74","LBFAST","373f36de-5a4d-4e82-b577-3a0da0e94146","LBFAST","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_75","LBTESTCD","f7682a41-7d77-43fc-973a-c22d29c38636","LBTESTCD","True","BiomedicalConceptProperty"
"True","float","BiomedicalConceptProperty_76","LBORRES","cf17dd6f-a1b8-4807-a660-4f303524ddbe","LBORRES","True","BiomedicalConceptProperty"
"True","","BiomedicalConceptProperty_77","LBORRESU","f7b30bb7-347e-4ed0-8210-b4576b6ce861","LBORRESU","True","BiomedicalConceptProperty"
